EPOCH                                                 B_R                         B_T                         B_N
dd-mm-yyyy hh:mm:ss.mil.mic                            nT                          nT                          nT
06-09-2022 00:43:29.999.995.3                     11.7306                    -4.18684                   -0.581937
06-09-2022 00:44:30.000.001.7                     12.1693                    -2.91217                   -0.400739
06-09-2022 00:45:29.999.998.2                     12.7545                   -0.668454                    -1.25264
06-09-2022 00:46:30.000.004.6                     12.1882                    -1.58338                    -1.82414
06-09-2022 00:47:30.000.001.1                     11.5509                    -4.13580                    -2.12685
06-09-2022 00:48:29.999.997.5                     13.2037                    -1.15591                    -1.48698
06-09-2022 00:49:30.000.004.0                     14.0652                   -0.409052                    -3.14321
06-09-2022 00:50:30.000.000.4                     13.9546                   -0.489948                    -2.88967
06-09-2022 00:51:29.999.996.8                     13.4582                    -1.46977                   -0.731128
06-09-2022 00:52:30.000.003.3                     12.7057                    -1.80868                   -0.116042
06-09-2022 00:53:29.999.999.7                     12.6746                    -1.74229                   -0.268636
06-09-2022 00:54:29.999.996.2                     12.8976                    -1.26475                   -0.153356
06-09-2022 00:55:30.000.002.6                     12.8241                    -1.16736                   -0.494399
06-09-2022 00:56:29.999.999.1                     13.1670                   -0.845334                   -0.856372
06-09-2022 00:57:29.999.995.5                     13.0302                   -0.441010                    -1.02496
06-09-2022 00:58:30.000.002.0                     13.0393                    -2.11170                   -0.728839
06-09-2022 00:59:29.999.998.4                     12.3261                    0.806560                   -0.742192
06-09-2022 01:00:30.000.004.9                     12.1950                     1.25378                    -1.50469
06-09-2022 01:01:30.000.001.3                     12.4316                     2.23056                    -1.63422
06-09-2022 01:02:29.999.997.7                     11.8051                     3.31594                    -2.32240
06-09-2022 01:03:30.000.004.2                     12.0427                     3.16928                    -1.58692
06-09-2022 01:04:30.000.000.6                     12.1948                     2.02104                    -2.69594
06-09-2022 01:05:29.999.997.0                     12.8537                     3.05090                    -2.21216
06-09-2022 01:06:30.000.003.5                     14.2410                     1.06937                    -2.25062
06-09-2022 01:07:30.000.000.0                     13.3513                  -0.0920573                    -1.54549
06-09-2022 01:08:29.999.996.4                     13.1293                     2.10625                    -1.29022
06-09-2022 01:09:30.000.002.9                     11.7964                     4.91790                   -0.489443
06-09-2022 01:10:29.999.999.3                     11.9324                     3.14921                    -1.86345
06-09-2022 01:11:29.999.995.7                     12.6887                     1.63630                    -1.09121
06-09-2022 01:12:30.000.002.2                     12.8357                    0.132716                    -1.18154
06-09-2022 01:13:29.999.998.6                     12.8342                    0.343059                    -1.22873
06-09-2022 01:14:29.999.995.0                     12.8101                    0.569749                    -1.06815
06-09-2022 01:15:30.000.001.5                     12.4922                    0.549081                    -1.44775
06-09-2022 01:16:29.999.997.9                     12.2705                     1.76148                    -2.09393
06-09-2022 01:17:30.000.004.4                     11.3988                    -3.44826                     1.37879
06-09-2022 01:18:30.000.000.8                     11.5475                    -3.72359                    0.852170
06-09-2022 01:19:29.999.997.3                     11.8398                    -3.25720                     1.95009
06-09-2022 01:20:30.000.003.7                     12.1404                    -3.47596                    0.627862
06-09-2022 01:21:30.000.000.2                     12.3688                    -2.98231                    0.163982
06-09-2022 01:22:29.999.996.6                     12.1904                    -1.85455                    0.530440
06-09-2022 01:23:30.000.003.1                     12.0825                    -2.12926                  -0.0514808
06-09-2022 01:24:29.999.999.5                     12.3525                    -1.47248                   -0.602175
06-09-2022 01:25:29.999.995.9                     13.0306                    -1.90070                    -1.28949
06-09-2022 01:26:30.000.002.4                     12.5732                    -1.82323                    -1.21258
06-09-2022 01:27:29.999.998.8                     12.7633                    -1.76264                   -0.814503
06-09-2022 01:28:29.999.995.3                     12.7090                    -1.70977                   -0.248003
06-09-2022 01:29:30.000.001.7                     12.2896                    -1.26798                   -0.427424
06-09-2022 01:30:29.999.998.2                     12.1327                    -1.42679                   -0.728773
06-09-2022 01:31:30.000.004.6                     11.7399                    -1.58118                   -0.920524
06-09-2022 01:32:30.000.001.1                     12.0774                   -0.947958                   -0.649218
06-09-2022 01:33:29.999.997.5                     12.2741                   -0.995058                   -0.172946
06-09-2022 01:34:30.000.004.0                     12.2413                   -0.884965                   -0.488034
06-09-2022 01:35:30.000.000.4                     12.0103                   -0.534012                    -1.66868
06-09-2022 01:36:29.999.996.8                     11.3956                   0.0850785                    -3.92155
06-09-2022 01:37:30.000.003.3                     11.9897                    -2.20657                  -0.0617518
06-09-2022 01:38:29.999.999.7                     11.7501                    -2.50525                    -1.01499
06-09-2022 01:39:29.999.996.2                     12.0743                    -1.43019                   -0.435518
06-09-2022 01:40:30.000.002.6                     11.7331                    -1.86601                    0.796510
06-09-2022 01:41:29.999.999.1                     11.8812                    -1.01347                 -0.00732573
06-09-2022 01:42:29.999.995.5                     12.0896                   -0.399211                   -0.166995
06-09-2022 01:43:30.000.002.0                     11.8784                   -0.870116                   0.0305784
06-09-2022 01:44:29.999.998.4                     12.0049                    0.906238                   -0.184294
06-09-2022 01:45:30.000.004.9                     11.8091                    0.289721                    0.248557
06-09-2022 01:46:30.000.001.3                     11.9896                   -0.215584                   -0.933145
06-09-2022 01:47:29.999.997.7                     12.0816                   -0.319519                    0.377780
06-09-2022 01:48:30.000.004.2                     12.1717                   -0.434476                  0.00818354
06-09-2022 01:49:30.000.000.6                     11.9100                   -0.978774                    0.487620
06-09-2022 01:50:29.999.997.0                     12.2637                   -0.910073                    0.396841
06-09-2022 01:51:30.000.003.5                     12.2604                    -1.08886                    0.726067
06-09-2022 01:52:30.000.000.0                     12.0091                    -1.01783                    0.493636
06-09-2022 01:53:29.999.996.4                     11.7224                   -0.973326                  -0.0846121
06-09-2022 01:54:30.000.002.9                     12.2675                    -2.04717                    0.528758
06-09-2022 01:55:29.999.999.3                     11.8770                    -2.68781                    0.464852
06-09-2022 01:56:29.999.995.7                     11.9559                    -1.41709                     1.34321
06-09-2022 01:57:30.000.002.2                     11.7477                     1.06340                     2.13374
06-09-2022 01:58:29.999.998.6                     12.1170                   -0.726031                    0.592212
06-09-2022 01:59:29.999.995.0                     12.0637                   -0.503271                   -0.111539
06-09-2022 02:00:30.000.001.5                     11.9057                    0.701572                   -0.297996
06-09-2022 02:01:29.999.997.9                     12.0358                    0.545114                   0.0317544
06-09-2022 02:02:30.000.004.4                     11.7252                     2.54583                    0.904168
06-09-2022 02:03:30.000.000.8                     12.1837                   -0.265242                    0.255504
06-09-2022 02:04:29.999.997.3                     12.1411                  -0.0370226                   -0.493576
06-09-2022 02:05:30.000.003.7                     11.8110                    0.948562                    0.737672
06-09-2022 02:06:30.000.000.2                     11.4501                   -0.455703                    0.411074
06-09-2022 02:07:29.999.996.6                     12.0892                   -0.179076                    0.124924
06-09-2022 02:08:30.000.003.1                     11.7263                   -0.423902                   0.0896416
06-09-2022 02:09:29.999.999.5                     11.5201                   -0.483837                   -0.526182
06-09-2022 02:10:29.999.995.9                     11.6657                   -0.801933                    -1.27710
06-09-2022 02:11:30.000.002.4                     11.7872                   0.0233233                   0.0973526
06-09-2022 02:12:29.999.998.8                     12.1445                    0.155720                   -0.367672
06-09-2022 02:13:29.999.995.3                     11.7294                     1.13852                    -1.83741
06-09-2022 02:14:30.000.001.7                     11.2789                    0.647339                    -1.91223
06-09-2022 02:15:29.999.998.2                     10.7723                   -0.512031                    -2.70111
06-09-2022 02:16:30.000.004.6                     11.0999                    0.214065                    -1.86718
06-09-2022 02:17:30.000.001.1                     11.0303                     2.64469                    0.947909
06-09-2022 02:18:29.999.997.5                     12.3118                     2.23950                     1.08521
06-09-2022 02:19:30.000.004.0                     12.0920                    0.192395                   -0.276723
06-09-2022 02:20:30.000.000.4                     12.1652                 -0.00739912                  -0.0896566
06-09-2022 02:21:29.999.996.8                     11.8586                   -0.420867                    0.328091
06-09-2022 02:22:30.000.003.3                     11.6113                   -0.296245                    0.279339
06-09-2022 02:23:29.999.999.7                     11.4094                   -0.587854                    0.345082
06-09-2022 02:24:29.999.996.2                     11.4500                   -0.896903                  -0.0934566
06-09-2022 02:25:30.000.002.6                     11.3838                   -0.932972                    0.222677
06-09-2022 02:26:29.999.999.1                     11.0161                   -0.510914                   -0.258188
06-09-2022 02:27:29.999.995.5                     10.9748                   0.0550656                   0.0900299
06-09-2022 02:28:30.000.002.0                     10.6575                   -0.404115                    0.216500
06-09-2022 02:29:29.999.998.4                     10.2744                   -0.364223                   -0.589297
06-09-2022 02:30:30.000.004.9                     10.2625                   0.0896556                    0.700048
06-09-2022 02:31:30.000.001.3                     10.0453                   -0.463289                    0.205632
06-09-2022 02:32:29.999.997.7                     10.1837                    -1.24592                    0.725462
06-09-2022 02:33:30.000.004.2                     10.1846                   -0.580556                    0.569698
06-09-2022 02:34:30.000.000.6                     9.97803                    -1.00289                    0.927215
06-09-2022 02:35:29.999.997.0                     9.89359                    0.237282                    0.329624
06-09-2022 02:36:30.000.003.5                     9.82752                   -0.490421                     1.08314
06-09-2022 02:37:30.000.000.0                     10.4854                   -0.876336                     1.51879
06-09-2022 02:38:29.999.996.4                     10.5579                    -1.94536                     1.72469
06-09-2022 02:39:30.000.002.9                     10.4924                    -2.11237                     1.84582
06-09-2022 02:40:29.999.999.3                     10.5581                    -1.39371                     1.43447
06-09-2022 02:41:29.999.995.7                     10.3608                   -0.762518                     1.16689
06-09-2022 02:42:30.000.002.2                     10.7388                    0.330220                    0.743005
06-09-2022 02:43:29.999.998.6                     10.7786                    -1.61446                     1.05089
06-09-2022 02:44:29.999.995.0                     10.9194                   -0.805513                    0.520234
06-09-2022 02:45:30.000.001.5                     10.9869                    -1.23921                     1.01069
06-09-2022 02:46:29.999.997.9                     10.5581                     2.10519                   -0.155194
06-09-2022 02:47:30.000.004.4                     10.6860                     1.04890                    0.944629
06-09-2022 02:48:30.000.000.8                     10.6747                     1.24484                    0.282267
06-09-2022 02:49:29.999.997.3                     10.7807                    0.589267                   -0.497196
06-09-2022 02:50:30.000.003.7                     10.6331                     1.72512                   -0.220388
06-09-2022 02:51:30.000.000.2                     10.6111                     1.00061                    0.826443
06-09-2022 02:52:29.999.996.6                     10.6696                    0.458114                    0.764884
06-09-2022 02:53:30.000.003.1                     10.5450                    0.693305                    0.279406
06-09-2022 02:54:29.999.999.5                     10.7866                    0.287236                    0.413432
06-09-2022 02:55:29.999.995.9                     10.8542                    0.824745                   -0.503076
06-09-2022 02:56:30.000.002.4                     10.8550                    0.509510                   0.0654925
06-09-2022 02:57:29.999.998.8                     10.7910                    0.938741                    0.435319
06-09-2022 02:58:29.999.995.3                     10.5914                     1.08172                    0.445177
06-09-2022 02:59:30.000.001.7                     10.4267                     1.28982                    0.426297
06-09-2022 03:00:29.999.998.2                     10.2821                    0.554843                     1.83996
06-09-2022 03:01:30.000.004.6                     10.2064                    0.604919                     2.09161
06-09-2022 03:02:30.000.001.1                     10.5202                     1.66525                    0.123304
06-09-2022 03:03:29.999.997.5                     10.8242                     1.44803                   0.0584706
06-09-2022 03:04:30.000.004.0                     10.9530                    0.283351                    0.181249
06-09-2022 03:05:30.000.000.4                     10.6153                   -0.248497                    0.233377
06-09-2022 03:06:29.999.996.8                     10.8701                   -0.257277                   -0.163586
06-09-2022 03:07:30.000.003.3                     11.2067                   -0.865528                  -0.0249697
06-09-2022 03:08:29.999.999.7                     11.3072                   -0.259940                   -0.779111
06-09-2022 03:09:29.999.996.2                     11.0984                   -0.341492                   -0.525261
06-09-2022 03:10:30.000.002.6                     11.0827                    0.230265                   -0.987862
06-09-2022 03:11:29.999.999.1                     10.9408                     1.25349                   0.0282840
06-09-2022 03:12:29.999.995.5                     11.0376                  -0.0489582                   -0.660443
06-09-2022 03:13:30.000.002.0                     10.9972                  -0.0295627                   -0.365230
06-09-2022 03:14:29.999.998.4                     10.6115                  -0.0263991                    0.590766
06-09-2022 03:15:30.000.004.9                     10.4597                    0.519098                   0.0762335
06-09-2022 03:16:30.000.001.3                     10.7103                   -0.589793                    0.522304
06-09-2022 03:17:29.999.997.7                     10.1963                    -2.46099                   0.0215247
06-09-2022 03:18:30.000.004.2                     10.4589                   -0.492218                   -0.851222
06-09-2022 03:19:30.000.000.6                     10.2485                    0.483151                   -0.442086
06-09-2022 03:20:29.999.997.0                     9.79160                     1.53712                    -1.49948
06-09-2022 03:21:30.000.003.5                     10.0979                    0.777657                    -1.67777
06-09-2022 03:22:30.000.000.0                     10.0767                     1.70353                   -0.490326
06-09-2022 03:23:29.999.996.4                     10.1009                     1.66754                   -0.882477
06-09-2022 03:24:30.000.002.9                     10.4363                     1.59698                   -0.703451
06-09-2022 03:25:29.999.999.3                     10.2885                     3.19408                    0.180641
06-09-2022 03:26:29.999.995.7                     11.2050                     2.07514                   -0.970104
06-09-2022 03:27:30.000.002.2                     10.8877                     2.83163                    -1.76081
06-09-2022 03:28:29.999.998.6                     10.6366                     3.08772                    -2.14661
06-09-2022 03:29:29.999.995.0                     11.0764                    -2.01224                    -1.65456
06-09-2022 03:30:30.000.001.5                     10.5656                    -2.53737                    -2.81704
06-09-2022 03:31:29.999.997.9                     10.2942                    -2.75425                    -2.80699
06-09-2022 03:32:30.000.004.4                     10.2020                     2.73283                    -1.36826
06-09-2022 03:33:30.000.000.8                     9.56539                     5.18512                   -0.804837
06-09-2022 03:34:29.999.997.3                     9.76721                     3.99582                    -1.94650
06-09-2022 03:35:30.000.003.7                     9.84407                     3.12466                    -1.38069
06-09-2022 03:36:30.000.000.2                     10.4432                     2.93870                    -2.53043
06-09-2022 03:37:29.999.996.6                     10.2361                     3.37778                    -2.33190
06-09-2022 03:38:30.000.003.1                     10.6840                     2.22329                    -2.91149
06-09-2022 03:39:29.999.999.5                     10.7137                    0.110426                    -3.44510
06-09-2022 03:40:29.999.995.9                     11.1573                    -1.10215                    -2.16266
06-09-2022 03:41:30.000.002.4                     11.0206                   -0.281297                    -3.82266
06-09-2022 03:42:29.999.998.8                     10.4226                    -1.66866                    -3.98073
06-09-2022 03:43:29.999.995.3                     10.3246                   -0.366432                    -2.48936
06-09-2022 03:44:30.000.001.7                     10.6565                    -1.93639                    -3.07742
06-09-2022 03:45:29.999.998.2                     10.4989                    -1.33237                    -5.17418
06-09-2022 03:46:30.000.004.6                     12.5065                    -1.98531                    -3.40992
06-09-2022 03:47:30.000.001.1                     11.8201                   -0.645742                    -4.01073
06-09-2022 03:48:29.999.997.5                     11.8254                    -2.45056                    -2.91596
06-09-2022 03:49:30.000.004.0                     9.55952                   -0.146777                    -7.51709
06-09-2022 03:50:30.000.000.4                     10.0406                    -2.19019                    -6.50749
06-09-2022 03:51:29.999.996.8                     10.7080                    -1.88749                    -5.57326
06-09-2022 03:52:30.000.003.3                     11.3359                    -1.21059                    -4.99856
06-09-2022 03:53:29.999.999.7                     10.4982                    -4.98450                    -5.13553
06-09-2022 03:54:29.999.996.2                     10.5428                    -2.78308                    -5.87288
06-09-2022 03:55:30.000.002.6                     10.9846                    -4.48008                    -6.28355
06-09-2022 03:56:29.999.999.1                     10.4821                    -4.15220                    -8.46084
06-09-2022 03:57:29.999.995.5                     11.3767                    -3.76210                    -6.19409
06-09-2022 03:58:30.000.002.0                     11.9972                    -1.92115                    -3.87784
06-09-2022 03:59:29.999.998.4                     6.89462                    -5.11042                    -8.86306
06-09-2022 04:00:30.000.004.9                     11.1394                    -2.38663                    -4.36671
06-09-2022 04:01:30.000.001.3                     9.04131                    -4.20054                    -7.38806
06-09-2022 04:02:29.999.997.7                     10.8025                    -4.42895                    -5.31055
06-09-2022 04:03:30.000.004.2                     9.56079                    -3.91778                    -6.47044
06-09-2022 04:04:30.000.000.6                     10.3015                    -1.16746                    -5.28196
06-09-2022 04:05:29.999.997.0                     9.64448                    -3.50036                    -5.92498
06-09-2022 04:06:30.000.003.5                     9.15906                    -2.98271                    -5.78969
06-09-2022 04:07:30.000.000.0                     11.6569                    -1.37752                    -5.21848
06-09-2022 04:08:29.999.996.4                     11.7330                    -1.33664                    -4.43370
06-09-2022 04:09:30.000.002.9                     11.6573                    -1.51350                    -4.39386
06-09-2022 04:10:29.999.999.3                     11.4899                    -1.24715                    -4.92329
06-09-2022 04:11:29.999.995.7                     10.5319                    -2.56456                    -5.59349
06-09-2022 04:12:30.000.002.2                     10.7932                   -0.990513                    -5.26663
06-09-2022 04:13:29.999.998.6                     10.8421                    -4.36282                    -6.44328
06-09-2022 04:14:29.999.995.0                     9.15543                    -8.69351                    -2.45612
06-09-2022 04:15:30.000.001.5                     7.27608                    -7.91597                    -2.30838
06-09-2022 04:16:29.999.997.9                     7.88576                    -7.77478                    -2.65690
06-09-2022 04:17:30.000.004.4                     7.71513                    -7.59637                    -2.40438
06-09-2022 04:18:30.000.000.8                     8.24479                    -7.38231                    -2.69324
06-09-2022 04:19:29.999.997.3                     8.04014                    -7.23685                    -3.36276
06-09-2022 04:20:30.000.003.7                     8.09421                    -7.73286                    -2.06588
06-09-2022 04:21:30.000.000.2                     7.93346                    -8.08138                    -1.47802
06-09-2022 04:22:29.999.996.6                     7.76856                    -7.74244                   -0.638979
06-09-2022 04:23:30.000.003.1                     8.11922                    -6.79387                    -3.33439
06-09-2022 04:24:29.999.999.5                     7.56365                    -6.63977                    -3.39727
06-09-2022 04:25:29.999.995.9                     7.85345                    -6.82648                    -2.56167
06-09-2022 04:26:30.000.002.4                     6.95425                    -7.42545                   -0.680478
06-09-2022 04:27:29.999.998.8                     6.19906                    -7.26546                     2.10061
06-09-2022 04:28:29.999.995.3                     6.87217                    -8.64833                    -2.24248
06-09-2022 04:29:30.000.001.7                     8.08983                    -7.51370                    -3.15503
06-09-2022 04:30:29.999.998.2                     1.13963                    -10.5297                     1.29436
06-09-2022 04:31:30.000.004.6                     10.2757                    -1.48192                    -5.66370
06-09-2022 04:32:30.000.001.1                     7.36274                    -8.23349                    -3.28964
06-09-2022 04:33:29.999.997.5                     8.33299                    -7.83201                    -2.08615
06-09-2022 04:34:30.000.004.0                     9.79005                    -8.08065                    -3.50358
06-09-2022 04:35:30.000.000.4                     8.33191                    -8.46177                    -3.48177
06-09-2022 04:36:29.999.996.8                     7.11348                    -9.24372                    -1.47334
06-09-2022 04:37:30.000.003.3                     5.18915                    -8.50271                    0.504223
06-09-2022 04:38:29.999.999.7                     6.19521                    -8.03114                    -4.40955
06-09-2022 04:39:29.999.996.2                     6.59307                    -9.00336                    -1.69412
06-09-2022 04:40:30.000.002.6                     6.25604                    -8.56941                    -1.90812
06-09-2022 04:41:29.999.999.1                     5.88631                    -8.15893                    -1.20295
06-09-2022 04:42:29.999.995.5                     5.59300                    -8.36727                    -1.40269
06-09-2022 04:43:30.000.002.0                     4.15572                    -8.98722                   -0.132807
06-09-2022 04:44:29.999.998.4                     3.85813                    -8.95235                    -1.71759
06-09-2022 04:45:30.000.004.9                     4.46408                    -8.77075                    0.343381
06-09-2022 04:46:30.000.001.3                     3.55464                    -8.82433                     1.92661
06-09-2022 04:47:29.999.997.7                     4.47747                    -9.02096                     2.17945
06-09-2022 04:48:30.000.004.2                     6.20165                    -8.55418                     1.61525
06-09-2022 04:49:30.000.000.6                     4.50897                    -9.57818                     2.31931
06-09-2022 04:50:29.999.997.0                     5.50310                    -8.58284                   -0.311439
06-09-2022 04:51:30.000.003.5                     5.23922                    -8.97725                    0.342613
06-09-2022 04:52:30.000.000.0                     2.94399                    -9.43797                    -4.35778
06-09-2022 04:53:29.999.996.4                     5.38361                    -8.20754                    -6.19140
06-09-2022 04:54:30.000.002.9                     4.43974                    -9.25275                    -4.15874
06-09-2022 04:55:29.999.999.3                     9.17825                    -4.82338                     3.78783
06-09-2022 04:56:29.999.995.7                     1.82654                    -11.0345                    -1.52902
06-09-2022 04:57:30.000.002.2                     2.22690                    -10.6996                   -0.174454
06-09-2022 04:58:29.999.998.6                    -2.65786                    -10.8141                    -1.94968
06-09-2022 04:59:29.999.995.0                    -4.95688                    -9.79669                     1.70040
06-09-2022 05:00:30.000.001.5                    -6.29823                    -8.68132                     2.77298
06-09-2022 05:01:29.999.997.9                    -2.55683                    -11.4709                     1.15421
06-09-2022 05:02:30.000.004.4                    -5.07071                    -10.4869                    0.942041
06-09-2022 05:03:30.000.000.8                    -1.92221                    -11.4801                   0.0116845
06-09-2022 05:04:29.999.997.3                    -2.06629                    -11.9815                    0.155044
06-09-2022 05:05:30.000.003.7                    -2.16859                    -12.2959                    0.663380
06-09-2022 05:06:30.000.000.2                   -0.910194                    -11.8447                     1.41889
06-09-2022 05:07:29.999.996.6                     3.52518                    -11.1590                     1.29505
06-09-2022 05:08:30.000.003.1                     5.11368                    -10.2348                     1.88374
06-09-2022 05:09:29.999.999.5                     5.00715                    -10.7928                     1.15537
06-09-2022 05:10:29.999.995.9                     4.12084                    -11.3946                     1.10822
06-09-2022 05:11:30.000.002.4                    -5.96529                    -10.1579                     3.21370
06-09-2022 05:12:29.999.998.8                    0.530760                    -11.8292                     2.71068
06-09-2022 05:13:29.999.995.3                     2.94771                    -11.4720                    0.452277
06-09-2022 05:14:30.000.001.7                     2.81410                    -11.0204                     1.09306
06-09-2022 05:15:29.999.998.2                     1.96336                    -11.2508                     1.55693
06-09-2022 05:16:30.000.004.6                    -4.85402                    -10.2027                     1.56067
